Date,Open,High,Low,Close,Vol
21/01/2013 00:00,0.93406,0.93491,0.93077,0.93456,102116
22/01/2013 00:00,0.93453,0.93462,0.92745,0.92948,156673
23/01/2013 00:00,0.92947,0.93153,0.92769,0.92995,124512
24/01/2013 00:00,0.92994,0.93243,0.92794,0.92944,139803
25/01/2013 00:00,0.92944,0.93065,0.92215,0.92625,144722
27/01/2013 00:00,0.92676,0.92872,0.92653,0.92694,7394
28/01/2013 00:00,0.92694,0.92921,0.92571,0.92628,127115
29/01/2013 00:00,0.92628,0.92674,0.91931,0.92221,133769
30/01/2013 00:00,0.92221,0.92267,0.9093,0.91106,145727
31/01/2013 00:00,0.91105,0.91202,0.9075,0.90911,133881
01/02/2013 00:00,0.90912,0.91086,0.90217,0.90804,157749
03/02/2013 00:00,0.90804,0.90871,0.90743,0.90828,7145
04/02/2013 00:00,0.90825,0.91168,0.90721,0.90886,128595
05/02/2013 00:00,0.90884,0.91157,0.90724,0.90792,149353
06/02/2013 00:00,0.90792,0.91492,0.90563,0.91008,148070
07/02/2013 00:00,0.91009,0.92007,0.90651,0.91865,153719
08/02/2013 00:00,0.91863,0.91894,0.91533,0.9169,122095
10/02/2013 00:00,0.91762,0.91794,0.91704,0.91736,8854
11/02/2013 00:00,0.91736,0.9213,0.91564,0.92068,133942
12/02/2013 00:00,0.92067,0.92141,0.91494,0.91661,137034
13/02/2013 00:00,0.91664,0.91961,0.91521,0.91739,121413
14/02/2013 00:00,0.91738,0.92455,0.9168,0.92224,134925
15/02/2013 00:00,0.92224,0.92409,0.92044,0.92169,123242
17/02/2013 00:00,0.92261,0.92327,0.92176,0.92311,5117
18/02/2013 00:00,0.92311,0.92576,0.92095,0.92322,105692
19/02/2013 00:00,0.92321,0.92488,0.92151,0.92216,105217
20/02/2013 00:00,0.92216,0.92855,0.91842,0.92807,123813
21/02/2013 00:00,0.9281,0.93325,0.92721,0.93071,137096
22/02/2013 00:00,0.9307,0.93281,0.92831,0.92945,123916
24/02/2013 00:00,0.92911,0.9314,0.92892,0.9305,10090
25/02/2013 00:00,0.93052,0.93383,0.9231,0.93168,203923
26/02/2013 00:00,0.93168,0.93349,0.92859,0.93163,212102
27/02/2013 00:00,0.9316,0.9332,0.92794,0.9287,181210
28/02/2013 00:00,0.9287,0.93732,0.92822,0.93704,152695
01/03/2013 00:00,0.93704,0.94626,0.93511,0.94242,162388
03/03/2013 00:00,0.94213,0.94276,0.94158,0.94216,6822
04/03/2013 00:00,0.94216,0.944,0.94002,0.94031,122675
05/03/2013 00:00,0.94033,0.94332,0.9393,0.9412,128075
06/03/2013 00:00,0.9412,0.94889,0.9402,0.94853,122720
07/03/2013 00:00,0.94854,0.94884,0.94096,0.9424,152625
08/03/2013 00:00,0.94241,0.95516,0.94171,0.95093,140226
10/03/2013 00:00,0.95221,0.95291,0.95135,0.95239,10877
11/03/2013 00:00,0.95239,0.95256,0.94655,0.94831,120038
12/03/2013 00:00,0.94828,0.95042,0.94358,0.94715,140636
13/03/2013 00:00,0.94716,0.95323,0.94293,0.9526,128465
14/03/2013 00:00,0.9526,0.95664,0.94508,0.94696,142298
15/03/2013 00:00,0.94696,0.94759,0.93789,0.93828,134786
17/03/2013 00:00,0.94426,0.94557,0.94182,0.94517,20207
18/03/2013 00:00,0.94523,0.94864,0.94162,0.94725,158570
19/03/2013 00:00,0.94727,0.94909,0.94253,0.94767,163713
20/03/2013 00:00,0.94766,0.94807,0.94108,0.94474,147698
21/03/2013 00:00,0.94474,0.94819,0.94381,0.94631,164380
22/03/2013 00:00,0.94631,0.94741,0.93961,0.94091,143860
24/03/2013 00:00,0.94294,0.94344,0.93509,0.93867,12655
25/03/2013 00:00,0.93871,0.94965,0.93803,0.94831,164748
26/03/2013 00:00,0.94829,0.95045,0.94718,0.94811,124033
27/03/2013 00:00,0.94812,0.95533,0.94771,0.95394,120468
28/03/2013 00:00,0.95394,0.9548,0.9466,0.94923,118337
29/03/2013 00:00,0.94923,0.95114,0.94801,0.94885,59425
31/03/2013 00:00,0.94978,0.95058,0.94954,0.95014,4584
01/04/2013 00:00,0.95012,0.95265,0.94556,0.9464,70601
02/04/2013 00:00,0.94641,0.94969,0.94441,0.94869,125140
03/04/2013 00:00,0.94868,0.95201,0.94416,0.94486,112784
04/04/2013 00:00,0.94486,0.9526,0.9382,0.94062,155818
05/04/2013 00:00,0.94058,0.94332,0.93126,0.93446,125739
07/04/2013 00:00,0.9348,0.93527,0.93279,0.93381,8727
08/04/2013 00:00,0.93379,0.93609,0.93307,0.9342,110617
09/04/2013 00:00,0.93419,0.93663,0.93073,0.93239,123685
10/04/2013 00:00,0.93239,0.93362,0.92947,0.93333,109908
11/04/2013 00:00,0.93331,0.93396,0.92785,0.93006,116896
12/04/2013 00:00,0.93007,0.9332,0.92638,0.92746,111640
14/04/2013 00:00,0.92684,0.92843,0.9264,0.9284,5351
15/04/2013 00:00,0.92839,0.93275,0.92682,0.93008,150577
16/04/2013 00:00,0.93007,0.93265,0.92076,0.92227,152597
17/04/2013 00:00,0.92227,0.93385,0.92059,0.93253,165294
18/04/2013 00:00,0.93253,0.93344,0.92891,0.93236,160954
19/04/2013 00:00,0.93235,0.93424,0.92761,0.93358,141981
21/04/2013 00:00,0.93163,0.93347,0.93157,0.93335,5858
22/04/2013 00:00,0.93336,0.93707,0.93145,0.93444,122402
23/04/2013 00:00,0.93444,0.946,0.9327,0.94576,148851
24/04/2013 00:00,0.94576,0.94985,0.94434,0.94739,127054
25/04/2013 00:00,0.94738,0.94839,0.9422,0.94523,131008
26/04/2013 00:00,0.94523,0.94558,0.94019,0.94232,124827
28/04/2013 00:00,0.94071,0.94243,0.93995,0.9422,8231
29/04/2013 00:00,0.94221,0.94294,0.9354,0.93729,115235
30/04/2013 00:00,0.93729,0.93839,0.92781,0.92941,132169
01/05/2013 00:00,0.92941,0.93089,0.92467,0.927,110241
02/05/2013 00:00,0.92698,0.93623,0.92664,0.9347,142741
03/05/2013 00:00,0.9347,0.93991,0.93023,0.93532,139614
05/05/2013 00:00,0.93492,0.93565,0.93453,0.93541,6014
06/05/2013 00:00,0.93539,0.93968,0.93382,0.93858,89567
07/05/2013 00:00,0.93858,0.94363,0.93664,0.94088,111913
08/05/2013 00:00,0.94088,0.94106,0.93367,0.93504,121622
09/05/2013 00:00,0.93504,0.94984,0.93334,0.94958,136423
